chrom	left_start	left_end	right_start	right_end
NC_045512.2	6917	6950	7041	7066
NC_045512.2	7007	7035	7126	7156
NC_045512.2	7098	7122	7216	7240
NC_045512.2	7167	7200	7290	7312
NC_045512.2	7253	7286	7398	7427
NC_045512.2	7358	7390	7507	7532
NC_045512.2	7473	7503	7597	7622
NC_045512.2	7562	7591	7678	7706
NC_045512.2	7643	7673	7762	7790
NC_045512.2	7730	7758	7849	7878
NC_045512.2	7805	7838	7929	7953
NC_045512.2	7888	7921	8009	8033
NC_045512.2	7958	7988	8081	8107
NC_045512.2	8042	8075	8157	8180
NC_045512.2	8126	8152	8248	8274
NC_045512.2	8212	8242	8333	8355
NC_045512.2	8287	8316	8406	8435
NC_045512.2	8375	8400	8496	8524
NC_045512.2	8456	8485	8575	8605
NC_045512.2	8539	8569	8658	8688
NC_045512.2	8616	8649	8738	8764
NC_045512.2	8711	8734	8834	8860
NC_045512.2	8798	8825	8919	8945
NC_045512.2	8890	8915	9006	9035
NC_045512.2	8976	9000	9097	9120
NC_045512.2	9050	9079	9174	9199
NC_045512.2	9139	9169	9259	9287
NC_045512.2	9231	9254	9347	9380
NC_045512.2	9314	9341	9436	9462
NC_045512.2	9404	9431	9516	9544
NC_045512.2	9481	9511	9641	9665
NC_045512.2	9597	9630	9744	9771
NC_045512.2	9709	9735	9835	9858
NC_045512.2	9802	9831	9926	9951
NC_045512.2	9865	9898	10016	10038
NC_045512.2	9987	10012	10108	10135
NC_045512.2	10080	10104	10191	10220
NC_045512.2	10153	10178	10274	10300
NC_045512.2	10244	10270	10368	10393
NC_045512.2	10334	10362	10454	10483
NC_045512.2	10423	10447	10548	10572
NC_045512.2	10518	10543	10635	10661
NC_045512.2	10602	10624	10723	10751
NC_045512.2	10687	10714	10809	10833
NC_045512.2	10776	10800	10892	10922
NC_045512.2	10855	10888	10978	11004
NC_045512.2	10943	10969	11028	11058
NC_045512.2	11004	11028	11125	11150
NC_045512.2	11093	11119	11218	11242
NC_045512.2	11190	11214	11311	11337
NC_045512.2	11270	11300	11392	11417
NC_045512.2	11357	11382	11477	11504
NC_045512.2	11438	11463	11555	11583
NC_045512.2	11526	11551	11650	11675
NC_045512.2	11605	11638	11731	11754
NC_045512.2	11693	11726	11816	11842
NC_045512.2	11785	11810	11908	11934
NC_045512.2	11877	11903	12000	12026
NC_045512.2	11966	11994	12090	12115
NC_045512.2	12042	12069	12165	12190
NC_045512.2	12137	12161	12262	12286
NC_045512.2	12226	12251	12348	12374
NC_045512.2	12305	12328	12428	12454
NC_045512.2	12395	12421	12556	12581
NC_045512.2	12522	12551	12646	12670
NC_045512.2	12584	12616	12737	12759
NC_045512.2	12610	12638	12737	12759
NC_045512.2	12685	12710	12809	12833
NC_045512.2	12776	12801	12900	12924
NC_045512.2	12864	12893	12984	13009
NC_045512.2	12923	12956	13075	13097
NC_045512.2	13045	13071	13155	13178
NC_045512.2	13126	13151	13254	13275
NC_045512.2	13204	13230	13325	13347
NC_045512.2	13281	13314	13406	13427
NC_045512.2	13353	13380	13479	13499
NC_045512.2	13442	13466	13562	13590
NC_045512.2	13529	13554	13648	13678
NC_045512.2	13612	13644	13728	13761
NC_045512.2	13672	13705	13820	13846
NC_045512.2	13788	13815	13905	13937
NC_045512.2	13870	13901	13989	14019
NC_045512.2	13959	13982	14080	14107
NC_045512.2	14043	14073	14166	14190
NC_045512.2	14124	14153	14243	14273
NC_045512.2	14212	14237	14336	14361
NC_045512.2	14309	14332	14428	14457
NC_045512.2	14397	14420	14511	14544
NC_045512.2	14481	14507	14607	14630
NC_045512.2	14581	14603	14705	14730
NC_045512.2	14668	14695	14783	14810
NC_045512.2	14748	14776	14872	14897
NC_045512.2	14838	14868	14952	14980
NC_045512.2	14917	14941	15036	15066
NC_045512.2	15006	15031	15130	15162
NC_045512.2	15086	15107	15209	15234
NC_045512.2	15181	15205	15305	15327
NC_045512.2	15277	15300	15399	15426
NC_045512.2	15374	15394	15493	15519
NC_045512.2	15463	15486	15624	15655
NC_045512.2	15587	15613	15709	15731
NC_045512.2	15678	15704	15786	15819
NC_045512.2	15756	15780	15875	15903
NC_045512.2	15846	15871	15963	15995
NC_045512.2	15929	15955	16052	16077
NC_045512.2	16014	16039	16131	16160
NC_045512.2	16088	16121	16212	16235
NC_045512.2	16181	16207	16302	16330
NC_045512.2	16272	16297	16397	16420
NC_045512.2	16367	16392	16481	16507
NC_045512.2	16442	16472	16560	16582
NC_045512.2	16528	16556	16650	16677
NC_045512.2	16611	16637	16737	16760
NC_045512.2	16706	16731	16830	16855
NC_045512.2	16791	16824	16909	16935
NC_045512.2	16869	16899	16991	17018
NC_045512.2	16935	16958	17061	17084
NC_045512.2	17028	17057	17144	17170
NC_045512.2	17110	17134	17230	17252
NC_045512.2	17181	17211	17303	17329
NC_045512.2	17265	17298	17393	17414
NC_045512.2	17359	17389	17470	17493
NC_045512.2	17422	17443	17569	17592
NC_045512.2	17537	17559	17663	17686
NC_045512.2	17625	17654	17747	17772
NC_045512.2	17716	17739	17835	17860
NC_045512.2	17805	17831	17930	17954
NC_045512.2	17888	17915	18014	18037
NC_045512.2	17968	17999	18091	18113
NC_045512.2	18052	18081	18174	18201
NC_045512.2	18137	18165	18257	18279
NC_045512.2	18220	18252	18342	18368
NC_045512.2	18296	18316	18433	18460
NC_045512.2	18397	18426	18557	18585
NC_045512.2	18483	18509	18654	18678
NC_045512.2	18601	18627	18714	18741
NC_045512.2	18687	18710	18809	18835
NC_045512.2	18780	18805	18899	18922
NC_045512.2	18856	18881	18976	19005
NC_045512.2	18946	18971	19066	19094
NC_045512.2	19035	19062	19158	19184
NC_045512.2	19103	19136	19253	19277
NC_045512.2	19219	19249	19335	19368
NC_045512.2	19300	19326	19449	19471
NC_045512.2	19400	19426	19522	19549
NC_045512.2	19489	19518	19611	19637
NC_045512.2	19576	19607	19692	19725
NC_045512.2	19651	19676	19777	19800
NC_045512.2	19738	19771	19860	19885
NC_045512.2	19813	19840	19938	19962
NC_045512.2	19889	19918	20005	20033
NC_045512.2	19957	19978	20102	20131
NC_045512.2	20072	20095	20188	20221
NC_045512.2	20161	20184	20278	20308
NC_045512.2	20161	20184	20300	20323
NC_045512.2	20238	20271	20358	20386
NC_045512.2	20322	20354	20441	20470
NC_045512.2	20404	20437	20546	20578
NC_045512.2	20492	20525	20633	20666
NC_045512.2	20603	20629	20724	20752
NC_045512.2	20691	20720	20808	20840
NC_045512.2	20774	20803	20897	20921
NC_045512.2	20860	20887	20985	21009
NC_045512.2	20953	20980	21072	21102
NC_045512.2	21032	21064	21153	21179
NC_045512.2	21119	21145	21244	21268
NC_045512.2	21196	21221	21337	21370
NC_045512.2	21305	21331	21425	21454
NC_045512.2	21387	21420	21505	21536
NC_045512.2	21467	21500	21587	21616
NC_045512.2	21549	21579	21672	21697
NC_045512.2	21636	21660	21761	21785
NC_045512.2	21728	21757	21848	21877
NC_045512.2	21814	21844	21930	21963
NC_045512.2	21899	21926	22019	22048
NC_045512.2	21957	21989	22104	22134
NC_045512.2	21985	22013	22104	22134
NC_045512.2	22067	22095	22191	22215
NC_045512.2	22154	22187	22271	22302
NC_045512.2	22154	22187	22287	22316
NC_045512.2	22235	22264	22358	22382
NC_045512.2	22320	22342	22466	22493
NC_045512.2	22437	22459	22554	22579
NC_045512.2	22520	22548	22639	22664
NC_045512.2	22605	22630	22726	22754
NC_045512.2	22691	22722	22839	22865
NC_045512.2	22801	22824	22917	22950
NC_045512.2	22879	22908	23044	23068
NC_045512.2	22989	23012	23133	23162
NC_045512.2	23087	23120	23208	23236
NC_045512.2	23173	23203	23294	23319
NC_045512.2	23261	23285	23381	23405
NC_045512.2	23347	23376	23455	23478
NC_045512.2	23424	23451	23538	23563
NC_045512.2	23494	23516	23619	23643
NC_045512.2	23577	23607	23697	23726
NC_045512.2	23662	23692	23786	23810
NC_045512.2	23754	23780	23878	23903
NC_045512.2	23846	23874	23962	23995
NC_045512.2	23929	23957	24047	24072
NC_045512.2	24000	24030	24125	24147
NC_045512.2	24088	24114	24201	24224
NC_045512.2	24173	24197	24295	24321
NC_045512.2	24262	24291	24386	24410
NC_045512.2	24356	24382	24464	24489
NC_045512.2	24429	24453	24547	24570
NC_045512.2	24503	24527	24625	24652
NC_045512.2	24587	24615	24704	24728
NC_045512.2	24673	24700	24799	24822
NC_045512.2	24770	24795	24891	24919
NC_045512.2	24862	24887	24983	25009
NC_045512.2	24946	24975	25067	25091
NC_045512.2	25034	25063	25157	25183
NC_045512.2	25123	25151	25246	25271
NC_045512.2	25213	25239	25325	25349
NC_045512.2	25284	25306	25405	25433
NC_045512.2	25364	25397	25492	25513
NC_045512.2	25455	25480	25579	25603
NC_045512.2	25539	25562	25656	25680
NC_045512.2	25624	25647	25739	25772
NC_045512.2	25701	25732	25842	25875
NC_045512.2	25808	25838	25930	25954
NC_045512.2	25885	25913	26007	26034
NC_045512.2	25972	26000	26096	26121
NC_045512.2	26062	26087	26182	26203
NC_045512.2	26146	26172	26266	26294
NC_045512.2	26228	26257	26353	26373
NC_045512.2	26324	26347	26446	26473
NC_045512.2	26404	26434	26529	26553
NC_045512.2	26493	26524	26618	26642
NC_045512.2	26579	26608	26700	26725
NC_045512.2	26666	26696	26791	26813
NC_045512.2	26764	26787	26866	26890
NC_045512.2	26807	26833	26958	26980
NC_045512.2	26917	26942	27040	27066
NC_045512.2	27009	27033	27122	27151
NC_045512.2	27095	27116	27213	27243
NC_045512.2	27181	27209	27321	27354
NC_045512.2	27281	27314	27414	27437
NC_045512.2	27370	27397	27484	27509
NC_045512.2	27450	27475	27615	27638
NC_045512.2	27572	27596	27733	27761
NC_045512.2	27695	27719	27811	27844
NC_045512.2	27779	27807	27895	27928
NC_045512.2	27793	27820	27895	27928
NC_045512.2	27864	27890	27990	28012
NC_045512.2	27960	27984	28079	28102
NC_045512.2	28045	28075	28169	28194
NC_045512.2	28134	28165	28251	28282
NC_045512.2	28222	28246	28336	28360
NC_045512.2	28286	28307	28410	28435
NC_045512.2	28376	28395	28500	28525
NC_045512.2	28462	28485	28583	28610
NC_045512.2	28556	28577	28691	28715
NC_045512.2	28645	28669	28766	28789
NC_045512.2	28729	28751	28847	28872
NC_045512.2	28820	28843	28947	28969
NC_045512.2	28884	28906	29000	29024
NC_045512.2	28963	28987	29074	29098
NC_045512.2	29036	29058	29151	29177
NC_045512.2	29107	29132	29227	29246
NC_045512.2	29203	29221	29326	29352
NC_045512.2	29290	29320	29415	29438
NC_045512.2	29368	29394	29489	29512
NC_045512.2	29459	29482	29574	29603
NC_045512.2	29531	29554	29666	29696
NC_045512.2	29547	29570	29666	29696
NC_045512.2	29626	29655	29751	29774
NC_045512.2	29708	29731	29844	29875
NC_045512.2	29708	29731	29804	29837
PGD99_controls_19	797	824	1109	1135
